sl,src,reading,reason,literal_translation,smooth_translation
127,καὶ μέσον Φαραὼ πενθήρη,καὶ μέσον Φαραὼ πενθήρη,"No finite subordinate clause; the attachment of the adjectives is stylistically condensed. <UNCERTAIN: the phrase is syntactically compressed, but the reading itself is clear.>","and in the middle, Pharaoh in mourning","and in the midst, Pharaoh in mourning,"
158,καί τις πρωτότοκος χειρὶ σκοτεινὸν σῶμα ἐναγκαλισάμενος,καί τις πρωτότοκος χειρὶ σκοτεινὸν σῶμα ἐναγκαλισάμενος,<UNCERTAIN: syntactic force of χειρὶ σκοτεινὸν σῶμα ἐναγκαλισάμενος is unclear>,"And a certain firstborn, having embraced a dark body with the hand,","And a certain firstborn, having embraced a dark body with his hand,"
176,τριτῷ γεγέννημαι καρπῷ.,τριτῷ γεγέννημαι καρπῷ.,<UNCERTAIN: τριτῷ γεγέννημαι καρπῷ is idiomatic and semantically obscure; the sense is likely 'born third'.>,I have been born in a third fruit.,I was born third.
194,ὅλη γὰρ ἐπώζεσεν Αἴγυπτος ἐπὶ τῶν ἀτάφων σωμάτων.,ὅλη γὰρ ἐπώζεσεν Αἴγυπτος ἐπὶ τῶν ἀτάφων σωμάτων.,<UNCERTAIN: ἐπώζω?> | <UNCERTAIN: wailed?> | For all Egypt <UNCERTAIN: wailed?> over the unburied bodies.,For all Egypt <UNCERTAIN: wailed?> over the unburied bodies.,For all Egypt wailed over the unburied bodies.
233,"ἵνα ὡς ἂν τὸ γινόμενον διὰ τῆς προτυπώσεως δείκνυται,","ἵνα ὡς ἂν τὸ γινόμενον διὰ τῆς προτυπώσεως δείκνυται,",<UNCERTAIN: ἵνα + δείκνυται is syntactically irregular in the transmitted text; the clause is left as written.,"so that, as it were, the thing coming to be is shown through foreshadowing,","so that, as it were, what comes to be is shown through foreshadowing,"
338,ὦ νομοθετήσας διὰ τῆς ἐντολῆς,,"<UNCERTAIN: likely duplicate OCR line of 337; omit from continuous syntax> | <UNCERTAIN: likely a duplicated fragment of the previous line> | Followed change_log.txt, which marks this line as `[DELETED]` with the note `<UNCERTAIN: possible OCR duplication of line 337>`. I preserve the raw tokens for coverage, but exclude it from the running sense.",O having legislated through the commandment,<UNCERTAIN: likely a duplicated fragment of the previous line>
351,"Τούτου δὲ πολυχόου καὶ πολυχρονίου γενομένου,","Τούτου δὲ πολυχόου καὶ πολυχρονίου γενομένου,","<UNCERTAIN: obscure; transmitted> | This having become <UNCERTAIN: obscure> and long-lasting, | when this had become long-lasting and <UNCERTAIN: obscure>,","This having become <UNCERTAIN: obscure> and long-lasting,","when this had become long-lasting and <UNCERTAIN: obscure>,"
369,"ἐν οἷς περιηντλοῦντο ὑπὸ τῶν ἀκορέστων ἡδονῶν,","ἐν οἷς περιηντλοῦντο ὑπὸ τῶν ἀκορέστων ἡδονῶν,","<UNCERTAIN: obscure verb form> | <UNCERTAIN: were harried / driven about> | in which they were <UNCERTAIN: harried> by insatiable pleasures,","in which they were <UNCERTAIN: harried> by insatiable pleasures,","in which they were driven about by insatiable pleasures,"
396,ὃ ἐκύησεν καταπίνουσα τέκνον ἴουκετι προσλαλουνΐ.,ὃ ἐκύησεν καταπίνουσα τέκνον οὐκέτι προσλαλοῦν.,"<UNCERTAIN: οὐκέτι προσλαλοῦν> | That which she conceived, swallowing up the child, <UNCERTAIN: no longer speaking>. | Change_log marks this line as heavily corrupted and suggests `<UNCERTAIN: οὐκέτι προσλαλοῦν>`; I preserve the uncertainty rather than forcing a full reconstruction.","That which she conceived, swallowing up the child, <UNCERTAIN: no longer speaking>.","What she conceived, swallowing up the child, no longer speaking."
403,καὶ ἕτερος ἐπὶ τὴν γυναῖκα τοῦ πλησίον ἐχρεμέτιζον.,καὶ ἕτερος ἐπὶ τὴν γυναῖκα τοῦ πλησίον ἐχρεμέτιζον.,<UNCERTAIN: χρεμετίζω?> | <UNCERTAIN: behaved like neighing horses?>,And another were neighing toward the wife of his neighbor.,and another lusted after his neighbor's wife.
678,οὗτός ἐστιν ὃν ἠργυρίσω,οὗτός ἐστιν ὃν ἠργυρίσω,"<UNCERTAIN: ἀργυρίζω?> | <UNCERTAIN: aor/fut act 2sg?> | <UNCERTAIN: you sold for silver?; monetized?> | This is he whom you <UNCERTAIN: sold for silver?> | This is the one whom you <UNCERTAIN: treated as silver-paid / sold for silver>, | <UNCERTAIN: ἠργυρίσω is lexically difficult but not securely corrigible from the local evidence; preserved as transmitted.>",This is he whom you <UNCERTAIN: sold for silver?>,"This is the one whom you <UNCERTAIN: treated as silver-paid / sold for silver>,"
808,3 ν 3 - 4 ’ 30 ἢ 3 ΄,,<UNCERTAIN: pure OCR noise line> | <UNCERTAIN: omitted as pure OCR noise>,<UNCERTAIN: pure OCR noise line>,<UNCERTAIN: omitted as pure OCR noise>
832,τιν κα Ια τάκ ἃ,,<UNCERTAIN: pure OCR noise line> | <UNCERTAIN: omitted as pure OCR noise>,<UNCERTAIN: pure OCR noise line>,<UNCERTAIN: omitted as pure OCR noise>
